time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVJPG,NVJPG1,OFA,SE,VIC,DLA0,DLA1,PVA,NVENC,NVJPG0,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,jetson_clocks,nvp model
2026-08-16 17:27:14.948920,0:27:46.240000,7,9,8,8,9,11,0.3330935333070426,0.0017089066489203283,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,56.86274509803921,68.156,-256,-256,-256,67.687,67.687,68.625,67.312,68.625,1600,2346,6804,ON,MAXN_SUPER
2026-08-16 17:27:16.592529,2:11:37.700000,10,7,5,4,18,16,0.3270317788951329,0.021689969005527245,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,40.3921568627451,58.25,-256,-256,-256,57.687,57.812,58.968,57.375,58.968,1798,2310,7050,ON,MAXN_SUPER
2026-08-16 17:27:16.989720,2:11:38.700000,8,58,33,13,1,0,0.32987394837161915,0.021689969005527245,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,40.3921568627451,57.937,-256,-256,-256,58.0,57.781,59.031,57.437,59.031,1642,2307,7167,ON,MAXN_SUPER
2026-08-16 17:27:17.776001,2:11:39.700000,3,98,3,4,0,0,0.3305589445923297,0.021689969005527245,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,40.3921568627451,57.875,-256,-256,-256,57.75,57.906,58.968,57.406,58.968,1564,2307,7089,ON,MAXN_SUPER
2026-08-16 17:27:18.776641,2:11:40.700000,2,42,3,13,0,0,0.33061183410562295,0.021689969005527245,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,40.3921568627451,57.812,-256,-256,-256,58.062,57.937,58.937,57.375,58.937,1564,2271,6776,ON,MAXN_SUPER
2026-08-16 17:27:19.777552,2:11:41.700000,1,2,0,1,1,0,0.330755097932893,0.021689969005527245,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,40.3921568627451,58.0,-256,-256,-256,57.718,57.812,58.968,57.375,58.968,1527,2271,6619,ON,MAXN_SUPER
2026-08-16 17:27:20.778477,2:11:42.700000,3,2,3,2,1,0,0.330850607151073,0.021689969005527245,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,40.3921568627451,57.875,-256,-256,-256,57.843,57.75,59.0,57.281,59.0,1527,2271,6580,ON,MAXN_SUPER
2026-08-16 17:27:21.779504,2:11:43.700000,3,2,2,5,0,0,0.330914279963193,0.021689969005527245,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,40.3921568627451,57.875,-256,-256,-256,57.656,57.75,58.968,57.375,58.968,1527,2271,6619,ON,MAXN_SUPER
2026-08-16 17:27:22.780410,2:11:44.700000,15,16,16,48,14,14,0.3471806294981761,0.021689969005527245,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,40.3921568627451,58.468,-256,-256,-256,57.937,57.75,58.937,57.593,58.937,2420,2346,7781,ON,MAXN_SUPER
2026-08-16 17:27:23.781355,2:11:45.700000,2,5,4,100,1,1,0.35965587925991654,0.021689969005527245,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,40.3921568627451,58.375,-256,-256,-256,57.781,57.843,58.906,57.468,59.0,2225,2346,7625,ON,MAXN_SUPER
