time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVJPG,NVJPG1,OFA,SE,VIC,DLA0,DLA1,PVA,NVENC,NVJPG0,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,jetson_clocks,nvp model
2026-08-16 23:58:23.068268,8:42:45.020000,6,6,4,4,10,8,0.30068253146669294,0.08866596420744319,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,55.843,-256,-256,-256,54.937,55.187,56.343,54.718,56.343,1762,2271,6904,ON,MAXN_SUPER
2026-08-16 23:58:24.067476,8:42:46.020000,4,13,9,17,0,3,0.30417940122909065,0.08866596420744319,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,55.187,-256,-256,-256,55.187,55.031,56.281,54.656,56.281,1605,2271,6747,ON,MAXN_SUPER
2026-08-16 23:58:25.068321,8:42:47.020000,2,2,1,2,0,0,0.304405850504453,0.08866596420744319,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,55.312,-256,-256,-256,54.812,55.062,56.406,54.593,56.406,1527,2275,6590,ON,MAXN_SUPER
2026-08-16 23:58:26.069261,8:42:48.020000,3,3,1,2,0,0,0.3045352500903743,0.08866596420744319,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,55.281,-256,-256,-256,55.0,55.031,56.343,54.656,56.343,1488,2236,6512,ON,MAXN_SUPER
2026-08-16 23:58:27.070456,8:42:49.020000,2,2,2,1,0,0,0.3047293494692563,0.08866596420744319,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,55.187,-256,-256,-256,54.781,54.937,56.375,54.531,56.375,1488,2236,6551,ON,MAXN_SUPER
2026-08-16 23:58:28.071044,8:42:50.020000,15,58,16,16,14,13,0.3207476831312235,0.08866596420744319,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,55.5,-256,-256,-256,55.062,55.062,56.343,54.812,56.343,2307,2310,7637,ON,MAXN_SUPER
2026-08-16 23:58:29.071968,8:42:51.020000,6,100,2,3,4,3,0.3333235770153472,0.08866596420744319,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,55.406,-256,-256,-256,54.906,55.281,56.406,54.843,56.468,2228,2350,7598,ON,MAXN_SUPER
2026-08-16 23:58:30.072939,8:42:52.020000,2,100,6,3,0,1,0.3368497157317033,0.08866596420744319,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,55.812,-256,-256,-256,55.156,55.062,56.375,54.843,56.375,2228,2310,7559,ON,MAXN_SUPER
2026-08-16 23:58:31.073805,8:42:53.020000,75,11,10,9,31,7,0.34020948355187486,0.08866596420744319,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,55.781,-256,-256,-256,55.093,55.187,56.406,54.843,56.406,2150,2389,7676,ON,MAXN_SUPER
2026-08-16 23:58:32.074699,8:42:54.020000,5,2,2,3,97,0,0.34981688931611293,0.08866596420744319,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,55.812,-256,-256,-256,55.093,55.156,56.5,54.75,56.5,2150,2350,7637,ON,MAXN_SUPER
