time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVJPG,NVJPG1,OFA,SE,VIC,DLA0,DLA1,PVA,NVENC,NVJPG0,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,jetson_clocks,nvp model
2026-08-17 15:14:12.077831,3:04:16.210000,2,2,2,2,1,1,0.3223487462617897,0.00019718153641388404,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,56.375,-256,-256,-256,56.125,56.125,57.125,55.593,57.125,1762,2271,6983,ON,MAXN_SUPER
2026-08-17 15:14:12.487706,3:04:17.210000,6,17,23,66,0,0,0.3256083834499984,0.00019718153641388404,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,56.125,-256,-256,-256,55.937,55.937,57.218,55.437,57.218,1605,2271,7100,ON,MAXN_SUPER
2026-08-17 15:14:13.220111,3:04:18.210000,5,3,44,64,0,0,0.3266461475894706,0.00019718153641388404,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,56.062,-256,-256,-256,55.687,55.968,57.125,55.656,57.125,1566,2271,7061,ON,MAXN_SUPER
2026-08-17 15:14:14.221045,3:04:19.210000,4,3,19,24,0,0,0.32770188389365407,0.00019718153641388404,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,56.156,-256,-256,-256,56.0,55.968,57.218,55.531,57.218,1566,2271,6708,ON,MAXN_SUPER
2026-08-17 15:14:15.221913,3:04:20.220000,14,50,14,14,14,13,0.34269991209044004,0.00019718153641388404,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,57.031,-256,-256,-256,55.843,56.0,57.156,55.75,57.156,2424,2310,7755,ON,MAXN_SUPER
2026-08-17 15:14:16.222832,3:04:21.220000,6,57,5,3,44,2,0.35577286470143615,0.00019718153641388404,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,56.625,-256,-256,-256,56.062,56.031,57.187,55.656,57.187,2228,2350,7637,ON,MAXN_SUPER
2026-08-17 15:14:17.223826,3:04:22.220000,4,2,2,2,100,0,0.359971675868415,0.00019718153641388404,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,56.75,-256,-256,-256,56.125,56.125,57.156,55.687,57.156,2189,2310,7598,ON,MAXN_SUPER
2026-08-17 15:14:18.224657,3:04:23.220000,57,9,9,14,48,6,0.36426240182063163,0.00019718153641388404,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,56.75,-256,-256,-256,56.062,56.062,57.343,55.812,57.343,2189,2350,7637,ON,MAXN_SUPER
2026-08-17 15:14:19.225870,3:04:24.220000,100,1,2,3,0,1,0.36992876860889284,0.00019718153641388404,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,56.593,-256,-256,-256,56.375,56.125,57.437,55.937,57.437,2111,2389,7637,ON,MAXN_SUPER
2026-08-17 15:14:20.226540,3:04:25.220000,100,4,3,4,1,0,0.3753301743402675,0.00019718153641388404,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,37.64705882352941,56.718,-256,-256,-256,56.125,56.125,57.25,55.937,57.25,2228,2350,7598,ON,MAXN_SUPER
