time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVJPG,NVJPG1,OFA,SE,VIC,DLA0,DLA1,PVA,NVENC,NVJPG0,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,jetson_clocks,nvp model
2026-08-17 16:45:26.045760,4:20:06.790000,3,3,3,3,2,2,0.33133739606953894,0.011436529112005274,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,53.72549019607843,66.312,-256,-256,-256,65.781,66.031,66.687,65.468,66.687,1600,2346,6843,ON,MAXN_SUPER
2026-08-17 16:45:26.843035,4:35:31.850000,3,3,4,3,1,1,0.33587048950014786,0.011436529112005274,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,38.8235294117647,57.093,-256,-256,-256,56.625,56.531,57.593,56.031,57.593,1798,2271,6983,ON,MAXN_SUPER
2026-08-17 16:45:27.843286,4:35:32.850000,11,7,15,17,1,0,0.33967083210095633,0.011436529112005274,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,38.8235294117647,56.687,-256,-256,-256,56.625,56.406,57.718,55.937,57.718,1645,2271,6747,ON,MAXN_SUPER
2026-08-17 16:45:28.846932,4:35:33.850000,8,36,9,9,7,7,0.34401393407604586,0.011436529112005274,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,38.8235294117647,56.875,-256,-256,-256,56.437,56.406,57.656,56.125,57.656,2033,2310,7285,ON,MAXN_SUPER
2026-08-17 16:45:29.847522,4:35:34.850000,12,70,10,8,42,8,0.367080950737783,0.011436529112005274,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,38.8235294117647,57.187,-256,-256,-256,56.343,56.406,57.875,56.062,57.875,2228,2346,7598,ON,MAXN_SUPER
2026-08-17 16:45:30.848453,4:35:35.850000,2,2,4,2,100,2,0.3718358720299714,0.011436529112005274,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,38.8235294117647,57.0,-256,-256,-256,56.5,56.468,57.718,56.062,57.718,2228,2346,7598,ON,MAXN_SUPER
2026-08-17 16:45:31.849402,4:35:36.850000,10,10,9,51,58,8,0.37656049738736075,0.011436529112005274,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,38.8235294117647,57.25,-256,-256,-256,56.437,56.531,57.75,56.156,57.75,2228,2346,7637,ON,MAXN_SUPER
2026-08-17 16:45:32.850347,4:35:37.850000,5,2,2,100,0,0,0.38222943162772355,0.011436529112005274,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,38.8235294117647,57.281,-256,-256,-256,56.625,56.562,57.718,56.187,57.718,2150,2385,7676,ON,MAXN_SUPER
2026-08-17 16:45:33.851213,4:35:38.850000,2,0,4,100,0,0,0.3871127255249926,0.011436529112005274,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,38.8235294117647,57.218,-256,-256,-256,56.593,56.531,57.781,56.093,57.781,2189,2346,7559,ON,MAXN_SUPER
2026-08-17 16:45:34.852195,4:35:39.850000,5,2,5,100,0,5,0.39034566121134445,0.011436529112005274,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,38.8235294117647,57.25,-256,-256,-256,56.468,56.562,57.812,56.062,57.812,2189,2346,7598,ON,MAXN_SUPER
